Work_ID,Documents_Submitted,NOC_Status,Compliance_Score,Is_Duplicate_Work,Cost_Anomaly_Flag,Overall_Fraud_Risk_Score,Work_Description_Full,Inspection_Summary,Issues_Encountered
WS/MP498/2024-2025/133447,NOC,Received,93.03,False,False,19.01,Phage 2: Concrete R.C.C. bridge,Standard inspection passed,"Weather delays, Vendor issues"
WS/MP577/2025-2026/133549,"Site Plan,Utilization Cert",Not_Required,53.96,False,False,71.93,khnagela game mota faliya ma c.c.road nu kam,Standard inspection passed,"Weather delays, Vendor issues"
WS/MP577/2025-2026/133550,"NOC,Site Plan,Utilization Cert",Received,89.93,False,False,14.31,vijagadh game sampura balubhai na ghar thi kenal faliya sudhi c.c.road nu kam,Standard inspection passed,
WS/MP577/2025-2026/133551,"Site Plan,Utilization Cert",Received,96.15,False,False,26.81,khangela game dharmesh na ghar taraf jata rasta par c.c.road nu kam,Standard inspection passed,
WS/MP577/2025-2026/133552,"Utilization Cert,Site Plan",Received,64.52,False,False,81.07,khapariya game damor faliya ma c.c.road nu kam,Standard inspection passed,
WS/MP577/2025-2026/133553,"Utilization Cert,NOC",Received,54.54,False,False,44.61,agavada game gamtal sarpanch faliya ma c.c.road nu kam,Standard inspection passed,
WS/MP577/2025-2026/133554,"NOC,Utilization Cert,Site Plan",Received,73.78,False,False,22.2,dashla game sarkari prathmik  shala ma shed nu kam,Standard inspection passed,
WS/MP577/2025-2026/133556,"Site Plan,NOC,Utilization Cert",Not_Required,49.63,False,True,28.21,khapariiya game damor simada faliya faliya ma c.c.road nu kam,Standard inspection passed,
WS/MP577/2025-2026/133557,"NOC,Site Plan,Utilization Cert",Pending,44.23,False,True,1.53,VAROD SURPALI SADIYAVARU FALIYAMA AAVEL SARKARI SARVE NO.189-1 MA SAMUHIK KUVA NU KAM,Standard inspection passed,
WS/MP577/2025-2026/133558,"Site Plan,NOC,Utilization Cert",Received,55.69,False,False,28.09,varamkheda game mukhy rasta thi gamtal sudhi c.c.road nu kam,Issues found on site,
WS/MP577/2025-2026/133559,"Utilization Cert,NOC,Site Plan",Not_Required,92.33,False,False,36.71,moti kharaj game dhanthadi c.c.road nu kam,Standard inspection passed,
WS/MP577/2025-2026/133560,"Utilization Cert,NOC",Pending,84.54,False,False,70.04,nagrala game bamaniya faliya ma samuhik sinchai kuva nu kam,Standard inspection passed,
WS/MP577/2025-2026/133561,"Utilization Cert,NOC,Site Plan",Not_Required,94.37,False,False,69.53,nasirpur game mavi faliya ma samuhik kuva nu kam,Standard inspection passed,
WS/MP577/2025-2026/133562,"Site Plan,Utilization Cert",Not_Required,62.43,False,False,88.44,punsari game bhuriya faliya ma paka rasta ne jodto c.c.road nu kam,Standard inspection passed,
WS/MP577/2025-2026/133563,"Site Plan,Utilization Cert,NOC",Not_Required,66.99,False,False,71.94,chandawada game toranvali mahudi faliya ma c.c.road nu kam,Standard inspection passed,"Weather delays, Vendor issues"
WS/MP577/2025-2026/133564,"Site Plan,Utilization Cert,NOC",Not_Required,61.62,False,False,0.95,DHAVADIYA GAME BORVA FALIYAMA C.C.ROADNU KAM,Standard inspection passed,
WS/MP577/2025-2026/133565,NOC,Not_Required,43.11,False,False,26.1,simaliya khurd  game gamtal thi majubhai na ghar sudhi c.c.road nu kam,Standard inspection passed,"Weather delays, Vendor issues"
WS/MP577/2025-2026/133566,"Site Plan,NOC,Utilization Cert",Received,55.63,False,False,11.4,varamkheda game nadini bajuma c.c.road nu kam,Standard inspection passed,
WS/MP577/2025-2026/133567,"Site Plan,NOC",Pending,49.5,False,False,90.53,bhutodi game mohaniya  faliya ma c.c.road nu kam,Issues found on site,
WS/MP577/2025-2026/133568,"NOC,Site Plan",Pending,71.84,False,False,31.53,motikharaj game paka rasta thi  bhabhor faliya sudhi c.c.road nu kam,Standard inspection passed,"Weather delays, Vendor issues"
WS/MP577/2025-2026/133569,"Site Plan,NOC",Pending,79.5,False,False,51.14,khangela game paka rasta thi dineshbai gundiya  na ghar sudhi c.c.road nu kam,Standard inspection passed,"Weather delays, Vendor issues"
WS/MP577/2025-2026/133570,"NOC,Utilization Cert",Pending,84.84,False,True,1.7,gadoi game umriya kotar upar smshan jata rasta upar nala nu kam,Standard inspection passed,
WS/MP577/2025-2026/133571,"NOC,Utilization Cert,Site Plan",Received,80.59,False,False,76.95,bavka game mulka faliya thi smshan taraf jata rasta par nala nu kam,Standard inspection passed,
WS/MP577/2025-2026/133572,"Utilization Cert,NOC",Not_Required,45.67,False,False,97.47,katwara game hathila faliya ma  samuhik kuva nu kam,Standard inspection passed,
WS/MP577/2025-2026/133573,"Utilization Cert,Site Plan,NOC",Received,62.73,False,False,72.24,nani kharaj game bandikhedi panda faliya ma c.c.road nu kam,Standard inspection passed,
WS/MP577/2025-2026/133574,"NOC,Site Plan,Utilization Cert",Not_Required,58.78,False,True,27.93,kathla game damar road thi parmar faliya sudhi c.c.road nu kam,Standard inspection passed,
WS/MP577/2024-2025/133575,"Site Plan,Utilization Cert",Pending,54.76,False,False,25.01,nalwai game chopadi faliya ma c.c.road nu kam,Standard inspection passed,
WS/MP577/2024-2025/133576,NOC,Received,45.36,False,False,2.99,garbada game kamliyavad faliyama c.c.road nu kam,Issues found on site,
WS/MP577/2025-2026/133577,"Site Plan,Utilization Cert",Received,46.14,False,False,92.6,lilar game mavi faliya ma  samuhik kuva nu kam,Issues found on site,
WS/MP577/2024-2025/133578,"NOC,Utilization Cert",Pending,91.56,False,False,19.64,chharchhoda game bhabhor faliya thi aanganvadi ne jodto c.c.roadnu kam,Standard inspection passed,
WS/MP577/2025-2026/133579,Utilization Cert,Received,71.42,False,False,21.11,bhutardi game bhuriya faliya ma c.c.road nu kam,Standard inspection passed,
WS/MP577/2025-2026/133580,"NOC,Site Plan,Utilization Cert",Received,55.87,False,False,15.22,minakyar game bilval faliya ma c.c.road nu kam,Standard inspection passed,"Weather delays, Vendor issues"
WS/MP577/2025-2026/133581,"NOC,Site Plan,Utilization Cert",Pending,98.6,False,False,27.92,kharva game rasulbhaina ghar pase nikalti  sheri thi aanganvadi sudhi c.c.road nu kam,Standard inspection passed,
WS/MP577/2025-2026/133582,Utilization Cert,Pending,87.95,False,False,98.16,nelsur game aashram faliya ma saamuhik kuva nu kam,Standard inspection passed,
WS/MP577/2025-2026/133583,Utilization Cert,Received,50.02,False,False,44.74,ambli game khada faliya ma samuhik  kuva nu kam,Standard inspection passed,"Weather delays, Vendor issues"
WS/MP577/2024-2025/133584,NOC,Received,91.94,False,False,75.76,vajelav game sarpanch faliya ma c.c.road nu kam,Standard inspection passed,
WS/MP577/2024-2025/133585,Site Plan,Pending,40.52,False,False,82.27,matwa game navi vsahat thi badarbhai plas na ghar sudhi c.c.road nu kam,Standard inspection passed,"Weather delays, Vendor issues"
WS/MP577/2024-2025/133586,NOC,Not_Required,41.95,False,False,68.69,abhlod game indira nagari faliya ma c.c.road nu kam,Standard inspection passed,
WS/MP577/2025-2026/133587,"Site Plan,NOC,Utilization Cert",Pending,66.3,False,False,69.52,zari burjarg game dungra faliya ma aanganvadi thi ramanbhai vanabhai na ghar sudhi c.c.road nu kam,Standard inspection passed,
WS/MP577/2024-2025/133588,NOC,Pending,97.2,False,False,32.06,rayan panchayat limbu faliya thi lilva talavne jodto c.c.road nu kam,Standard inspection passed,
WS/MP577/2025-2026/133589,"NOC,Site Plan",Not_Required,78.99,False,True,48.68,boriyala game divaniya faliya ma samuhik kuva nu kam,Standard inspection passed,
WS/MP577/2025-2026/133590,"Site Plan,NOC",Not_Required,93.34,False,False,55.65,patiya game simada faliya ma samuhik kuva nu kam,Standard inspection passed,
WS/MP577/2025-2026/133591,Utilization Cert,Received,61.73,False,False,12.12,abhlod game umriya umariya faliya thi pranmji mandir par c.c.road nu kam,Standard inspection passed,
WS/MP577/2024-2025/133592,"NOC,Utilization Cert",Pending,81.07,False,False,34.72,kharva game bhuriya faliya ma c.c.road nu kam,Standard inspection passed,
WS/MP577/2025-2026/133593,NOC,Received,80.87,False,False,12.39,DHAMANBARI GAME NISHAL FALIYAMA SAMUHIK KUVANU KAM,Standard inspection passed,
WS/MP577/2025-2026/133594,"Utilization Cert,Site Plan",Pending,65.16,False,False,95.72,patiya game katara faliya thi samshan sudhi c.c.road nu kam,Standard inspection passed,
WS/MP577/2025-2026/133595,"NOC,Utilization Cert",Not_Required,60.41,False,False,77.83,nadhelav game bara na kotar thi shala taraf jata rasta par c.c.road nu kam,Standard inspection passed,"Weather delays, Vendor issues"
WS/MP577/2025-2026/133596,"Site Plan,Utilization Cert",Pending,58.45,False,False,93.68,abhlod game mukhy rastaa thi  bor faliya sudhi c.c.road nu kam,Issues found on site,
WS/MP577/2024-2025/133597,"Site Plan,Utilization Cert",Pending,47.86,False,False,56.29,nimach game nichvas faliya ma c.c.road nu kam,Standard inspection passed,
WS/MP577/2024-2025/133598,"NOC,Utilization Cert",Pending,56.96,False,False,21.26,vadva game bariya faliya anganvadi ne jodto c.c.road nu kam,Standard inspection passed,
WS/MP577/2025-2026/133599,"Utilization Cert,Site Plan",Not_Required,96.66,False,False,99.85,zarikhareli ma vaniya faliyama sarvajanik kuva nu kam,Standard inspection passed,"Weather delays, Vendor issues"
WS/MP577/2024-2025/133600,"Site Plan,NOC,Utilization Cert",Received,46.41,False,False,19.43,sahada game nishal faliya thi khaped faliya ne jodto c.c.road nu kam,Standard inspection passed,
WS/MP577/2024-2025/133601,"Utilization Cert,NOC,Site Plan",Pending,85.31,False,False,85.95,nava faliya thi bamniya sudhi c.c.road nu kam,Standard inspection passed,
WS/MP577/2025-2026/133602,"Utilization Cert,NOC",Not_Required,66.11,False,False,48.43,nadhelav game burva  faliyama sarvjanik kuva nu kam,Standard inspection passed,"Weather delays, Vendor issues"
WS/MP577/2025-2026/133603,"NOC,Utilization Cert",Received,73.12,False,False,15.74,rayan game paka road thi gamtal sudhi c.c.road nu kam,Standard inspection passed,
WS/MP577/2025-2026/133604,"Utilization Cert,Site Plan,NOC",Not_Required,87.18,False,False,35.07,PANIVED GAME KALADALA FALIYAMA SARKARI SARVE NUMBER 333 MA SAMUHIK KUVANU KAM,Standard inspection passed,
WS/MP577/2025-2026/133605,"Site Plan,NOC",Not_Required,77.19,False,False,81.49,khalta garbadi game risol faliya ma c.c road nu kam,Standard inspection passed,
WS/MP577/2024-2025/133606,NOC,Pending,98.46,False,False,94.36,dumka game main road thi mukhy nishal sudhi c.c.road nu kam,Standard inspection passed,
WS/MP577/2024-2025/133607,"NOC,Utilization Cert,Site Plan",Pending,75.22,False,False,78.43,motimalu game main road thi baheda faliya sudhi c.c.road nu kam,Standard inspection passed,"Weather delays, Vendor issues"
WS/MP577/2024-2025/133608,Site Plan,Pending,49.6,False,True,94.32,dumka game anganvadi kendr number 4 par c.c.road nu kam,Standard inspection passed,
WS/MP577/2025-2026/133609,"Utilization Cert,NOC,Site Plan",Pending,51.09,False,False,36.95,khalta game mohaniya faliya ma c.c road nu kam,Standard inspection passed,"Weather delays, Vendor issues"
WS/MP577/2026-2027/133610,Site Plan,Received,65.23,False,False,69.91,vakota game maji sarpanch faliya ma sarvjanik kuva nu kam,Issues found on site,
WS/MP577/2025-2026/133611,Utilization Cert,Pending,60.35,False,False,71.74,dhanarpatiya game mukhy  faliyama c.c.road nu kam,Standard inspection passed,
WS/MP577/2024-2025/133612,"Site Plan,NOC",Pending,74.36,False,False,58.26,khajuri game mali faliya ma c.c.road nu kam,Standard inspection passed,
WS/MP577/2025-2026/133613,"Utilization Cert,NOC",Received,61.31,False,False,1.48,zabu game bamaniya faliya ma sarvajanik kuva nu kam,Standard inspection passed,"Weather delays, Vendor issues"
WS/MP577/2025-2026/133614,"Utilization Cert,NOC",Not_Required,66.83,False,False,77.02,zabu game pateliya faliya ma c.c.road nu kam,Standard inspection passed,"Weather delays, Vendor issues"
WS/MP18152/2024-2025/133686,"Site Plan,Utilization Cert,NOC",Not_Required,72.35,False,False,97.23,Construction of MID DAY Meal Shed in Govt Primary school bajakhana main,Standard inspection passed,
WS/MP18152/2024-2025/133687,Utilization Cert,Not_Required,53.86,False,False,66.62,Construction of MID DAY Meal Shed in Govt Primary school Gondara,Standard inspection passed,
WS/MP18152/2024-2025/133688,"NOC,Site Plan,Utilization Cert",Pending,61.05,False,False,79.93,Construction of MID DAY Meal Shed in Govt Primary school Sedha Singhwala,Standard inspection passed,
WS/MP18152/2024-2025/133689,"NOC,Site Plan,Utilization Cert",Not_Required,98.48,False,False,61.62,Construction of MID DAY Meal Shed in Govt Primary school Rauwala,Standard inspection passed,"Weather delays, Vendor issues"
WS/MP18152/2024-2025/133690,"NOC,Utilization Cert",Not_Required,68.03,False,False,15.08,Construction of MID DAY Meal Shed in Govt Primary school Dal Singh Wala,Standard inspection passed,"Weather delays, Vendor issues"
WS/MP18152/2024-2025/133691,"NOC,Site Plan",Received,48.49,False,False,67.31,Construction of MID DAY Meal Shed in Govt Primary school Bajakhana (Bus adda),Standard inspection passed,"Weather delays, Vendor issues"
WS/MP18152/2024-2025/133692,"Site Plan,Utilization Cert,NOC",Not_Required,41.87,False,False,20.78,Construction of MID DAY Meal Shed in Govt Primary school Okandwala,Standard inspection passed,
WS/MP18152/2024-2025/133693,"NOC,Utilization Cert,Site Plan",Pending,96.89,False,False,42.06,Construction of MID DAY Meal Shed in Govt Primary school Gumti Khurd,Standard inspection passed,
WS/MP18152/2024-2025/133694,Utilization Cert,Not_Required,56.69,False,False,24.31,Construction of MID DAY Meal Shed in Govt Primary school Pakka No.4,Issues found on site,"Weather delays, Vendor issues"
WS/MP18152/2024-2025/133695,"Site Plan,Utilization Cert",Pending,77.3,False,False,99.52,Construction of Cycle Shed in Govt Primary school Lambwali,Standard inspection passed,
WS/MP18152/2024-2025/133696,"NOC,Site Plan,Utilization Cert",Not_Required,87.76,False,False,69.46,Installation of RO System and water cooler in Govt Primary school Pakka No.4,Standard inspection passed,
WS/MP18152/2024-2025/133697,"NOC,Utilization Cert",Received,75.69,False,False,59.27,Construction of Smart Classroom & Cycle Shed in Govt Primary school Machaki Mal Singh,Standard inspection passed,"Weather delays, Vendor issues"
WS/MP18152/2024-2025/133698,Site Plan,Received,56.46,False,False,42.78,Installation of Two Interactive panel for Smart Class in Govt High school Dhimanwali,Standard inspection passed,
WS/MP18152/2024-2025/133699,"Utilization Cert,NOC",Received,46.22,False,False,12.16,Installation of RO System and water cooler in Govt Primary school Dhilwan kalan,Standard inspection passed,
WS/MP18152/2024-2025/133700,Site Plan,Pending,83.34,False,False,44.94,Installation of RO System and water cooler in Govt Primary school Gurri Sangar,Issues found on site,
WS/MP18152/2024-2025/133701,"NOC,Utilization Cert,Site Plan",Received,81.88,False,False,85.29,Installation of RO System and water cooler in Govt Primary school Bajakhana Main,Standard inspection passed,
WS/MP18152/2024-2025/133702,"NOC,Utilization Cert",Received,48.83,False,False,34.94,Installation of RO System and water cooler in Govt Middle school Chahal,Standard inspection passed,
WS/MP18152/2024-2025/133703,"Site Plan,Utilization Cert",Received,48.95,False,False,91.64,Installation of RO System and water cooler in Govt Primary school Dhudi,Standard inspection passed,"Weather delays, Vendor issues"
WS/MP577/2024-2025/133772,"NOC,Utilization Cert",Pending,51.44,False,False,55.81,DUNGAR GAME KHAJURIYA FALIYA MA NAALA NU KAM,Standard inspection passed,
WS/MP577/2024-2025/133773,NOC,Not_Required,71.6,False,False,98.55,DUNGAR GAME VALAY NADI PAR SANRAKSHAN DIVAL NU KAM,Standard inspection passed,
WS/MP577/2024-2025/133774,"Site Plan,Utilization Cert",Received,91.72,False,False,31.01,DUNGAR GAME KADECHHA FALIYA MA MUKHY RASTA THI VINODBHAI VALABHAINA GHAR SUDHI R.C.C ROAD NU KAM,Standard inspection passed,"Weather delays, Vendor issues"
WS/MP577/2024-2025/133775,"Site Plan,NOC,Utilization Cert",Not_Required,51.37,False,False,76.53,DUNGAR GAME KUND FALIYA MA SAMUHIK KUVA NU KAM,Standard inspection passed,"Weather delays, Vendor issues"
WS/MP577/2024-2025/133776,"Site Plan,Utilization Cert",Pending,56.67,False,False,22.97,DUNGAR GAME NARANBHAI NA FALIYA MA SAMUHIK KUVA NU KAM,Standard inspection passed,
WS/MP641/2024-2025/133904,Utilization Cert,Received,66.88,False,False,38.33,Construction of flood control embankments in village Makadkheda (Narmada River),Standard inspection passed,"Weather delays, Vendor issues"
WS/MP641/2024-2025/133905,Site Plan,Not_Required,66.93,False,False,16.63,Construction of common work shed in village Bhopada at Salakhedi Road,Standard inspection passed,"Weather delays, Vendor issues"
WS/MP641/2024-2025/133906,"Site Plan,Utilization Cert,NOC",Received,43.36,False,False,69.26,Construction of community hall in village Oon Bujurga at behind Bholaram farm,Standard inspection passed,"Weather delays, Vendor issues"
WS/MP641/2024-2025/133909,"NOC,Utilization Cert",Pending,41.27,False,False,47.36,Construction of common work shed in village Ranipura (Morani Panchayat) at near old Hanuman Mandir,Standard inspection passed,"Weather delays, Vendor issues"
WS/MP641/2024-2025/133910,"Utilization Cert,Site Plan",Not_Required,43.23,False,False,87.35,Construction of common work shed in village Chervi at near samadhi of Toranmal incident,Standard inspection passed,
WS/MP641/2024-2025/133911,"NOC,Utilization Cert,Site Plan",Received,79.11,False,False,45.97,Construction of community hall in village Rosar,Issues found on site,
WS/MP641/2024-2025/133912,"Utilization Cert,Site Plan",Pending,75.12,False,False,62.18,Construction of community hall in village Bakwadi at near Damodar sahu farm,Standard inspection passed,
WS/MP641/2024-2025/133913,"Utilization Cert,NOC,Site Plan",Received,41.28,False,False,90.35,Construction of common work shed in village Barda at near ShriRam Mandir,Standard inspection passed,
WS/MP641/2024-2025/133919,"Site Plan,NOC",Not_Required,42.97,False,False,39.73,Construction of common work shed in Anjad at ward no 04 at near Khatu Shyam Mandir,Standard inspection passed,
WS/MP641/2025-2026/133920,"Utilization Cert,Site Plan",Pending,71.63,False,False,59.12,Construction of community hall in Anjad at ward no 01 Dashahara Maidan Kshtriya Rathod Dharmshala,Standard inspection passed,
WS/MP641/2025-2026/133921,NOC,Received,74.96,False,False,69.56,Construction of community hall in Palsud at ward no 04 Sai Mandir Road behind Rameshwar gole house,Issues found on site,
WS/MP641/2024-2025/133929,"Site Plan,NOC,Utilization Cert",Received,75.78,False,False,34.25,Construction of additional room in the existing public building in village Barda at Koli Mohalla,Standard inspection passed,
WS/MP423/2024-2025/133940,Site Plan,Pending,84.64,False,False,1.49,khajauli hospital chowk ke pass Pre Fabricated  bus sheds ka kray and instolation work.,Issues found on site,
WS/MP423/2024-2025/133941,NOC,Received,58.11,False,False,2.51,Basopatti babhan dey chowk ke pass  Pre Fabricated  bus sheds ka kray and instolation work.,Standard inspection passed,
WS/MP423/2024-2025/133944,"Utilization Cert,NOC",Received,59.7,False,False,15.74,paduma chowk ke pass Pre Fabricated  bus sheds ka kray and instolation work.,Standard inspection passed,"Weather delays, Vendor issues"
WS/MP423/2024-2025/133945,NOC,Pending,65.81,False,False,69.56,ranti chowk ke pass Pre Fabricated  bus sheds ka kray and instolation work.,Issues found on site,"Weather delays, Vendor issues"
WS/MP423/2024-2025/133946,"NOC,Utilization Cert",Pending,99.64,False,False,65.81,andhra bazar chowk ke pass Pre Fabricated  bus sheds ka kray and instolation work.,Standard inspection passed,
WS/MP423/2024-2025/133947,"Site Plan,NOC,Utilization Cert",Not_Required,75.62,False,False,67.49,Babunarhi prakhand ke antargat bhatchoura gram sthith sarvjanik mandir ke najdik high mask light ka adhisthapan karya,Standard inspection passed,"Weather delays, Vendor issues"
WS/MP423/2024-2025/133949,Site Plan,Pending,40.18,False,True,64.59,madhepur thana chowk ke pass  Pre Fabricated  bus sheds ka kray and instolation work.,Issues found on site,"Weather delays, Vendor issues"
WS/MP423/2024-2025/133955,NOC,Received,87.11,False,False,80.45,bhupatti ges goudam chowk  ke pass bus Pre Fabricated  bus sheds ka kray and instolation work.,Issues found on site,"Weather delays, Vendor issues"
WS/MP423/2024-2025/133959,"NOC,Site Plan",Not_Required,85.77,False,False,98.01,paitghat chowk mandir  ke pass NH ke bagal men Pre Fabricated  bus sheds ka kray and instolation work.,Standard inspection passed,
WS/MP423/2024-2025/133960,"Utilization Cert,NOC,Site Plan",Pending,60.18,False,False,69.61,arariya sangram mithila hat najdik NH ke bagal me Pre Fabricated  bus sheds ka kray and instolation work.,Issues found on site,
WS/MP423/2024-2025/133961,NOC,Received,72.44,False,False,97.03,Utkarmit Uchhy VidyalayChandan Kasera block basopatti men 2 set lab upkaran ka kray evam adhisthapan karya,Standard inspection passed,
WS/MP423/2024-2025/133962,"Site Plan,Utilization Cert,NOC",Not_Required,93.7,False,False,58.78,Uchh Madhymik vidyalay Narkatiya block Bassopatti  men 2 set lab upkaran ka kray evam adhisthapan karya,Issues found on site,
WS/MP423/2024-2025/133963,"NOC,Site Plan",Not_Required,77.91,True,False,58.87,utkarmit uchya madhyamik vidyalay  Durgipatti block KHutauna men  2 set lab upkaran ka kray evam adhisthapan karya,Standard inspection passed,
WS/MP423/2024-2025/133964,"Site Plan,NOC",Not_Required,77.4,False,False,41.97,chharapatti nahar chowk ke pass Pre Fabricated bus sheds ka kray and instolation work.,Standard inspection passed,
WS/MP423/2024-2025/133965,"Site Plan,NOC",Not_Required,52.8,False,False,71.59,U.U.M. School Chhatauni block basopatti men  2 set lab upkaran ka kray evam adhisthapan karya,Standard inspection passed,"Weather delays, Vendor issues"
WS/MP423/2024-2025/133966,NOC,Received,82.92,False,False,30.65,Rajkitkrit +2 Uchh vidyalay Lauthwa block basopatti  men 2 set lab upkaran ka kray evam adhisthapan karya,Standard inspection passed,
WS/MP423/2024-2025/133967,"Utilization Cert,Site Plan,NOC",Received,60.05,False,False,48.18,utkarmit madhyamik uchh vidyalay Kauyaha block Bassopatti men 2 set lab upkaran kakray evam adhisthapan karya,Issues found on site,
WS/MP423/2024-2025/133968,"NOC,Utilization Cert",Pending,48.2,False,False,50.43,utkarmit uchya vidyalay Dhamiyanpatti blockJaynagar men 2 set lab upkaran ka kray evam adhisthapan karya,Standard inspection passed,
WS/MP423/2024-2025/133969,"Site Plan,Utilization Cert,NOC",Received,52.59,False,False,16.03,Utkarmit uchhy Madhyamik Vidyalay fentPatauna block basopatti men 2 set lab upkaran ka kray evam adhisthapan karya,Standard inspection passed,
WS/MP423/2024-2025/133970,"Site Plan,NOC,Utilization Cert",Pending,73.17,False,False,57.29,Kabir uchya madhyamik (+2) vidyalay selra block Jaynagar men  2 set lab upkaran ka kray evam adhisthapan karya,Standard inspection passed,
WS/MP423/2024-2025/133971,"NOC,Site Plan,Utilization Cert",Pending,58.62,False,False,9.4,khutona samudayik sawasthya kendra men Samarsebal pump ka nirman karya,Standard inspection passed,
WS/MP423/2024-2025/133973,"Site Plan,NOC,Utilization Cert",Received,42.96,False,False,45.01,Ladaniya block ke antargat gajhara gram sthith durga mata mandir bhraman tol ke najdik high mask electric light ka kray evam adhisthapan karya. (Attached Takniki Vishistiyan ke Anurup),Issues found on site,
WS/MP423/2024-2025/133975,"Utilization Cert,Site Plan,NOC",Pending,65.36,False,True,33.52,khajouli block ke antargat sukki pul ke najdik high mask electric light ka kray evam adhisthapan karya. (Attached Takniki Vishistiyan ke Anurup),Standard inspection passed,
WS/MP423/2024-2025/133976,"NOC,Utilization Cert",Received,50.37,True,False,28.4,Rajnagar block ke antargat pilakhwar gram sthith durga mandir evm sarkari school ke najdik high mask electric light ka kray evam  adhisthapan karya. (Attached Takniki Vishistiyan ke Anurup),Standard inspection passed,
WS/MP18032/2024-2025/134022,"Utilization Cert,NOC",Received,95.15,False,False,99.22,Construction of road from Sowan Kali Mandir (Chota pul) to Baburajmohan Singh House door,Standard inspection passed,
WS/MP18032/2024-2025/134023,"NOC,Site Plan,Utilization Cert",Received,53.79,False,False,9.8,Construction of road from Rajan Singh's agricultural plot to Late Pradyuman Singh's Agricultural Plot at Sowan.,Standard inspection passed,
WS/MP18032/2024-2025/134024,"Site Plan,Utilization Cert,NOC",Pending,40.86,False,True,59.91,Construction of road from Raju Singh's Agricultural Plot to Nara (Barsadi Nadi).,Standard inspection passed,
WS/MP18032/2024-2025/134025,Utilization Cert,Received,56.51,False,False,76.38,"Purchase of new Bench, Desks nos. - 200 at Jagdev Lohia Inter college.",Standard inspection passed,
WS/MP18032/2024-2025/134026,"Utilization Cert,NOC,Site Plan",Not_Required,64.36,False,False,45.83,Construction of new road from house of Atal Bind to Chandan Bind's house,Standard inspection passed,
